2026-03-13 17:02:53 -0400 Assertions          	PID 61662(bluetoothd) Summary PreventUserIdleSystemSleep "com.apple.bluetooth.LeConnectionManager.HighPriorityScan" 00:00:00  id:0x0x10000a696 [System: PrevIdle DeclUser kDisp]          
2026-03-13 17:02:53 -0400 Assertions          	PID 346(powerd) Summary PreventUserIdleSystemSleep "Powerd - Prevent sleep while display is on" 00:05:36  id:0x0x10000a5ec [System: PrevIdle DeclUser kDisp]          
2026-03-13 17:02:53 -0400 Assertions          	PID 23740(Safari) Summary PreventUserIdleSystemSleep "Safari Downloads In Progress" 95:49:43  id:0x0x100009398 [System: PrevIdle DeclUser kDisp]          
2026-03-13 17:04:42 -0400 Assertions          	PID 40292(Claude) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x50000a6f1 [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-03-13 17:04:46 -0400 Assertions          	PID 40292(Claude) Created PreventSystemSleep "Preparing update" 00:00:00  id:0x0x70000a6f2 [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-03-13 17:04:46 -0400 Assertions          	PID 40292(Claude) Released PreventSystemSleep "Preparing update" 00:00:00  id:0x0x70000a6f2 [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-03-13 17:05:35 -0400 Assertions          	PID 346(powerd) TurnedOn InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x1000009533 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-03-13 17:05:35 -0400 Assertions          	PID 40292(Claude) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:53  id:0x0x50000a6f1 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:05:35 -0400 Assertions          	PID 40292(Claude) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x50000a6fd [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:02 -0400 Assertions          	PID 40292(Claude) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:27  id:0x0x50000a6fd [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14460.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a676 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14460.preventuseridlesleep" 00:04:23  id:0x0x10000a675 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14461.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a678 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14461.preventuseridlesleep" 00:04:23  id:0x0x10000a677 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14462.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a67a [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14462.preventuseridlesleep" 00:04:23  id:0x0x10000a679 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14463.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a67c [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14463.preventuseridlesleep" 00:04:23  id:0x0x10000a67b [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14464.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a67e [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14464.preventuseridlesleep" 00:04:23  id:0x0x10000a67d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14465.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a680 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14465.preventuseridlesleep" 00:04:23  id:0x0x10000a67f [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context14466.preventuseridledisplaysleep" 00:04:23  id:0x0x50000a682 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:06:15 -0400 Assertions          	PID 78499(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context14466.preventuseridlesleep" 00:04:23  id:0x0x10000a681 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:08:02 -0400 Assertions          	PID 346(powerd) TimedOut InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:02:00  id:0x0x1000009533 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:09:07 -0400 Assertions          	PID 43232(Caffeine) Created PreventUserIdleDisplaySleep "Caffeine prevents sleep" 00:00:00  id:0x0x50000a71e [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-03-13 17:09:15 -0400 Assertions          	PID 43232(Caffeine) TimedOut PreventUserIdleDisplaySleep "Caffeine prevents sleep" 00:00:08  id:0x0x50000a71e [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-03-13 17:09:15 -0400 Assertions          	PID 346(powerd) TurnedOn InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x1000009533 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-03-13 17:09:17 -0400 Assertions          	PID 43232(Caffeine) Created PreventUserIdleDisplaySleep "Caffeine prevents sleep" 00:00:00  id:0x0x50000a722 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-03-13 17:09:24 -0400 Assertions          	PID 43232(Caffeine) Released PreventUserIdleDisplaySleep "Caffeine prevents sleep" 00:00:06  id:0x0x50000a722 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-03-13 17:09:24 -0400 Assertions          	PID 346(powerd) Created InternalPreventSleep "com.apple.powermanagement.darkwakelinger" 00:00:00  id:0x0xd0000a723 [System: PrevIdle DeclUser SRPrevSleep IntPrevDisp kCPU kDisp]          
