Timestamp                       Thread     Type        Activity             PID    TTL  
2026-03-14 20:47:53.883590-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:53.883641-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:53.888083-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:53.911372-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:54.152959-0400 0xcc6601   Activity    0x2632498            23614  0    WindowServer: (RunningBoardServices) observedProcessStatesDidChange
2026-03-14 20:47:54.153245-0400 0xcc6601   Default     0x2632498            23614  0    WindowServer: (RunningBoardServices) [com.apple.runningboard:monitor] Received state update for 26467 (xpcservice<com.apple.WebKit.WebContent([app<application.com.apple.Safari.916735.917619(501)>:23740])(501)>{vt hash: 0}[uuid:9BD139E8-70E7-467F-B67C-9DA6B64EC966]{definition:com.apple.WebKit.WebContent[standard][client]}:26467, running-active-NotVisible
2026-03-14 20:47:54.255925-0400 0xcc7a7e   Activity    0x2632499            23614  0    WindowServer: (RunningBoardServices) observedProcessStatesDidChange
2026-03-14 20:47:54.256016-0400 0xcc7a7e   Default     0x2632499            23614  0    WindowServer: (RunningBoardServices) [com.apple.runningboard:monitor] Received state update for 26467 (xpcservice<com.apple.WebKit.WebContent([app<application.com.apple.Safari.916735.917619(501)>:23740])(501)>{vt hash: 0}[uuid:9BD139E8-70E7-467F-B67C-9DA6B64EC966]{definition:com.apple.WebKit.WebContent[standard][client]}:26467, running-active-NotVisible
2026-03-14 20:47:54.883727-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:54.883767-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:54.886433-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:54.903303-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:55.883713-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:55.883755-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:55.886391-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:55.907401-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:47:56.883664-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
