Timestamp                       Thread     Type        Activity             PID    TTL  
2026-03-14 20:58:30.905445-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:58:30.909076-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:58:30.933775-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:58:30.958388-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] _CGXPackagesSetWindowConstraints: Invalid window
2026-03-14 20:58:31.159957-0400 0x3c732c   Activity    0x263befe            23614  0    WindowServer: (TCC) TCCAccessRequest() IPC
2026-03-14 20:58:31.159970-0400 0x3c732c   Default     0x263befe            23614  0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7bbf24280] activating connection: mach=true listener=false peer=false name=com.apple.tccd.system
2026-03-14 20:58:31.172242-0400 0x3c732c   Default     0x263befe            23614  0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7bbf24280] invalidated after the last release of the connection object
2026-03-14 20:58:31.208955-0400 0x3c732c   Default     0x0                  23614  0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7bbf24280] activating connection: mach=false listener=true peer=false name=(anonymous)
2026-03-14 20:58:31.208962-0400 0x3c732c   Default     0x0                  23614  0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7bbf24280] Connection returned listener port: 0x4bacaf
2026-03-14 20:58:31.209192-0400 0xcc884a   Default     0x0                  23614  0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7bb96de00] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x7bbf24280.peer[90589].0x7bb96de00
2026-03-14 20:58:31.253551-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 45a9 owner 35d617 has not moved from (664.000000, 288.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.253555-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 45a6 owner 35d617 has not moved from (0.000000, 833.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.253556-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 45a7 owner 35d617 has not moved from (0.000000, 833.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.253556-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 45a8 owner 35d617 has not moved from (0.000000, 833.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.253559-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 58 owner 71b0f has not moved from (0.000000, 652.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.254692-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 56 owner 71b0f has not moved from (602.000000, 308.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.254694-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 57 owner 71b0f has not moved from (704.000000, 308.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.254695-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 112 owner 12a103 has not moved from (1763.000000, 32.000000) after 5 seconds. It is likely misplaced.
2026-03-14 20:58:31.254697-0400 0x3c732c   Error       0x0                  23614  7    WindowServer: (SkyLight) [com.apple.SkyLight:default] PKGWindowMoveOnMatchingDisplayChangedSeed window 371 owner 12a103 has not moved from (1442.000000, 230.000000) after 5 seconds. It is likely misplaced.
