Timestamp                       (process)[PID]    
2026-03-11 18:26:58.613121-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:27:11.723982-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:27:59.913251-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:28:07.105531-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:28:11.916375-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:28:13.143689-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:28:19.131327-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:28:19.198633-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:28:35.282332-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:28:36.294668-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:29:09.910504-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:29:16.220992-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:29:36.482669-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:29:36.482685-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:29:52.123343-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:29:52.143810-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:31:20.141938-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:31:20.275291-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:32:47.120930-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:32:47.175859-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:34:18.151649-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:34:18.198412-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:35:47.131279-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:35:47.392616-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:37:17.113075-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:37:17.131113-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:38:46.136280-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:38:46.168367-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:39:55.230124-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:40:05.922958-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:40:17.124338-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:40:17.163524-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:40:20.121182-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:40:59.228967-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:41:09.914957-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:41:21.916048-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:41:45.118193-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:41:45.140287-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:43:14.128164-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:43:14.171534-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:44:47.121672-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:44:47.142179-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:46:16.123631-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:46:16.140668-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:47:45.115593-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:47:45.139837-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:49:14.141430-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:49:14.182708-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:50:45.125940-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:50:45.154516-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:52:16.132927-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:52:16.164196-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:53:48.203879-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:53:48.396291-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:55:18.124549-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:55:18.143251-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:56:39.113461-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:56:39.128327-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:57:09.746019-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:11.766459-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:21.860066-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:24.893524-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:25.906420-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:26.925182-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:41.058616-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:46.092186-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:57.209429-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:57:58.117230-0400  localhost kernel[0]: PMRD: assertionsUser 0x40->0x41
2026-03-11 18:57:58.139847-0400  localhost kernel[0]: PMRD: assertionsUser 0x41->0x40
2026-03-11 18:58:00.248830-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:01.254982-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:09.910774-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:10.301244-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:11.916487-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:18.353959-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:20.365558-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
2026-03-11 18:58:21.916248-0400  localhost kernel[0]: PMRD: power event 14 args 0x0 0x0
