Timestamp                       (process)[PID]    
2026-03-11 19:03:27.086317-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.088509-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.104200-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.121003-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.137784-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.154553-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.171206-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.187688-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.204412-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
2026-03-11 19:03:27.221316-0400  localhost WindowServer[23614]: (QuartzCore) [com.apple.coreanimation:Brightness] Display 1 commitBrightness sdr: 0, headroom: 1, potential headroom: 2, ambient lux: 43.0268, filtered ambient: 43.0268, brightness limit: 525, indicator brightness: -1 low ambient strength: -1, high ambient strength: -1, contrast preservation: 0, contrast enhancer: -1 brightness ctl disabled -1, unlogged brightness transactions:0
